Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
kodarma,0.4952359,0.493650006,0.001585894
hazaribagh,0.550169328,0.473117617,0.077051711
bidar,1.344650341,0.577171919,0.767478422
kalaburagi,1.1108725,0.548079914,0.562792586
belagavi,1.274110942,0.55806105,0.716049892
yadgir,1.651730783,0.57450138,1.077229403
bagalkote,1.462562203,1.460163536,0.002398667
raichur,1.42584206,0.565825072,0.860016988
koppal,1.056602421,0.555929835,0.500672586
gadag,0.935237691,0.161614128,0.773623563
ballari,1.132672375,0.584051989,0.548620386
dharwad,0.419364228,0.136242811,0.283121417
uttara kannada,4.074727101,1.597536193,2.419647773
haveri,1.243636673,0.202049296,1.041587377
chitradurga,0.426895091,0.23997582,0.186919271
davanagere,0.757147753,0.419899366,0.337248387
shivamogga,1.276369106,1.203198506,0.0731706
udupi,0.74927375,0.741689148,0.007584602
chikkamagaluru,1.355001002,0.868566012,0.48643499
chikkaballapura,0.292140809,0.110670649,0.18147016
hassan,0.65942209,0.611212696,0.048209394
kolar,0.261632224,0.109739276,0.151892948
bengaluru rural,0.192307509,0.071765205,0.120542304
dakshina kannada,1.44861205,0.422123179,1.026488871
bangalore,0.342520348,0.227953363,0.114566985
kodagu,0.795547476,0.154509876,0.6410376
chamarajanagara,2.083532915,0.145853665,1.93767925
tumakuru,0.340404409,0.284595715,0.055808694
ramanagara,1.21544654,0.259579863,0.955866677
mandya,2.146957544,0.730831983,1.416125561
mysuru,1.66900183,1.291071277,0.377930553
vijayapura,0.883343513,0.871904394,0.011439119
kasaragod,3.02140911,0.717632918,2.303776192
wayanad,0.815062099,0.354881107,0.460180992
kozhikode,1.40055533,0.599372106,0.801183224
malappuram,1.938819937,0.260316709,1.678503228
palakkad,2.435607291,0.550109826,1.885497465
thrissur,5.136358427,0.761485485,4.374872942
idukki,0.789197649,0.784504282,0.004693367
ernakulam,5.103357738,1.597536193,1.260337983
alappuzha,8.323627750875,1.597536193,7.660317975750001
kottayam,3.699266664,1.597536193,1.520735488
pathanamthitta,1.224907042,0.233181386,0.991725656
kollam,2.689873614,1.597536193,0.007181482
thiruvananthapuram,0.884604088,0.648894373,0.235709715
kannur,3.447996641,1.090489394,2.357507247
leh,0.46868104,0.486956079,0.018275039
kargil,0.468179461,0.181839586,0.286339875
lakshadweep,8.323627750875,1.597536193,4.0
burhanpur,0.821960718,0.136420671,0.685540047
morena,3.024035354,0.36602215,2.658013204
bhind,2.808721208,0.119319241,2.689401967
gwalior,0.637436542,0.480315571,0.157120971
sheopur,1.417634793,0.185883526,1.231751267
shivpuri,0.728096946,0.56739149,0.160705456
tikamgarh,0.397359874,0.123153605,0.274206269
neemuch,1.80618778,1.597536193,0.047005244
rewa,0.994456438,0.175699644,0.818756794
satna,0.676054775,0.682682458,0.006627683
guna,0.595168951,0.137757934,0.457411017
ashoknagar,1.106305566,0.886532248,0.219773318
mandsaur,1.435703116,1.47147063,0.035767514
singrauli,1.521857949,0.715195816,0.806662133
sidhi,2.184368869,0.402325215,1.782043654
sagar,0.895085498,0.240442317,0.654643181
damoh,1.37672163,0.183081246,1.193640384
shajapur,0.571010644,0.057503291,0.513507353
vidisha,0.912677122,0.277215122,0.635462
rajgarh,0.937282124,0.464455125,0.472826999
shahdol,0.76725114,0.771098824,0.003847684
katni,1.074565636,0.544194583,0.530371053
umaria,0.907342834,0.911756287,0.004413453
ratlam,0.690751655,0.102150461,0.588601194
bhopal,0.626374883,0.626869321,0.000494438
ujjain,0.752619653,0.044407032,0.708212621
raisen,1.851820563,0.547154614,1.304665949
sehore,1.308962201,0.443833329,0.865128872
jabalpur,1.701345896,1.091398785,0.609947111
dewas,1.037523564,0.405980697,0.631542867
anuppur,0.69532992,0.16785608,0.52747384
jhabua,0.409073564,0.130395664,0.2786779
dindori,1.451159302,0.207929959,1.243229343
narsimhapur,2.214872889,0.238163477,1.976709412
dhar,0.815779757,0.487835201,0.327944556
indore,0.351694942,0.088367293,0.263327649
mandla,1.57739714,0.911846658,0.665550482
hoshangabad,2.346467017,0.970690301,1.375776716
seoni,1.235483561,0.815741223,0.419742338
alirajpur,0.872416618,0.738663983,0.133752635
chhindwara,0.626598635,0.382961008,0.243637627
harda,1.414901297,0.286810929,1.128090368
west nimar,1.727264926,0.465974584,1.261290342
east nimar,1.041803014,1.03067221,0.011130804
balaghat,1.159502036,0.086946009,1.072556027
barwani,0.86377453,0.58771354,0.27606099
agar malwa,0.53688887,0.338892414,0.197996456
datia,2.46515688,0.299925165,2.165231715
chhatarpur,1.27766675,0.251215844,1.026450906
panna,0.90658603,0.165583402,0.741002628
betul,0.659609051,0.086627039,0.572982012
niwari,2.347448333,0.208926357,2.138521976
gondiya,1.020830235,0.911616345,0.10921389
bhandara,2.564278476,0.742932408,1.821346068
jalgaon,1.523114248,0.504330321,1.018783927
wardha,1.65012412,1.005544539,0.644579581
buldana,0.570331597,0.427298223,0.143033374
akola,0.880057177,0.274621796,0.605435381
nashik,0.73876734,0.729292944,0.009474396
gadchiroli,1.859313068,0.196356508,1.66295656
washim,0.392447344,0.392373985,7.34e-05
