District,Latitude,Longitude,elevation
Jaintia Hills,25.438113,92.198261,1321
Jaipur,26.914736,75.810664,439
Jaisalmer,26.911481,70.91459,237
Jajapur,20.844687,86.32523,15
Jalandhar,31.339673,75.581698,239
Jalaun,25.989945,79.454191,139
Jalgaon,21.009559,75.570044,218
Jalna,19.848844,75.901627,505
Jalor,25.342919,72.620614,247
Jalpaiguri,26.527845,88.719039,85
Jammu,32.727401,74.8456,308
Jamnagar,22.471076,70.07265,18
Jamtara,23.959798,86.788385,191
Jamui,24.925934,86.216344,83
Janjgir,22.003783,82.594618,268
Jashpur,22.892329,84.158393,761
Jaunpur,25.748744,82.687741,80
Jehanabad,25.212198,84.982009,67
Jhabua,22.769906,74.599553,324
Jhajjar,28.601349,76.6536,215
Jhalawar,24.592312,76.165807,312
Jhansi,25.462975,78.57546,243
Jharsuguda,21.851989,84.025951,224
Jhunjhunun,28.129504,75.400108,338
Jind,29.318821,76.313347,226
Jodhpur,26.279624,73.022778,241
Jorhat,26.754666,94.218519,94
Junagadh,21.522705,70.461296,98
Jyotiba Phule Nagar,28.906416,78.462509,216
Kachchh,23.251213,69.666108,99
Kaimur,25.040295,83.602718,84
Kaithal,29.804185,76.399321,237
Kalahandi,19.910373,83.176494,261
Kamrup,26.181061,91.751916,59
Kancheepuram,12.834822,79.715697,83
Kandhamal,20.467657,84.240574,503
Kangra,32.217751,76.31406,1291
Kanker,20.275167,81.50583,402
Kannauj,27.056124,79.926694,133
Kanniyakumari,8.175865,77.440953,27
Kannur,11.868687,75.36639,15
Kanpur Dehat,26.375967,79.955267,132
Kanpur Nagar,26.461855,80.344194,132
Kapurthala,31.379585,75.385678,226
Karaikal,10.917964,79.837646,3
Karauli,26.4987,77.022184,273
Karbi Anglong,25.838215,93.446934,199
Karimganj,24.871588,92.353828,22
Karimnagar,18.431912,79.144791,263
Karnal,29.692495,76.985142,251
Karur,10.948948,78.086832,123
Kasaragod,12.498305,74.990213,18
Kathua,32.359369,75.516357,313
Katihar,25.537374,87.583497,32
Katni,23.841092,80.397878,380
Kaushambi,25.524545,81.383437,104
Kawardha,22.006266,81.259515,338
Kendrapara,20.508399,86.417262,6
Kendujhar,21.644926,85.583459,482
Khagaria,25.508751,86.472735,41
Khammam,17.245344,80.140567,116
Kheda,22.747316,72.695273,26
Kheri,27.947796,80.788432,147
Khordha,20.187781,85.622131,44
Kinnaur,31.546954,78.26285,2589
Kishanganj,26.112966,87.9283,50
Koch Bihar,26.328292,89.453617,45
Kodagu,12.422433,75.744027,1152
Kodarma,24.463,85.587047,386
Kohima,25.684924,94.118903,1410
Kokrajhar,26.40281,90.273819,47
Kolar,13.135759,78.136263,835
Kolasib,24.252182,92.690303,364
Kolhapur,16.694394,74.22406,559
Kolkata,22.548783,88.39894,5
Kollam,8.888392,76.609021,18
Koppal,15.362997,76.167916,539
Koraput,18.80694,82.719909,875
Korba,22.337193,82.715651,288
Koriya,23.244843,82.570516,538
Kota,25.179993,75.846204,263
Kottayam,9.595602,76.521426,12
Kozhikode,11.239895,75.795215,14
Krishna,16.189204,81.136184,9
Krishnagiri,12.533802,78.228528,512
Kullu,31.960573,77.107897,1454
Kurnool,15.834985,78.041533,283
Kurukshetra,29.962444,76.838151,256
Kurung Kumey,27.861258,93.499644,985
Kushinagar,26.907172,83.985134,88
Lahul & Spiti,32.574709,77.040806,3458
Lakhimpur,27.236148,94.105136,93
Lakhisarai,25.176411,86.090783,47
Lakshdweep,10.568609,72.640306,-7
Lalitpur,24.691585,78.418609,357
Latehar,23.75162,84.509376,406
Latur,18.401122,76.576955,629
Leh,34.138736,77.565158,3322
Lohardaga,23.432486,84.681568,659
Lohit,27.925439,96.166869,221
Lower Dibang Valley,28.1375,95.798781,289
Lower Subansiri,27.5556,93.812343,1661
Lucknow,26.83323,80.943614,123
Ludhiana,30.908679,75.851626,249
Lunglei,22.888359,92.746609,921
Madhepura,25.921099,86.792579,47
Madhubani,26.356596,86.070431,59
Madurai,9.924937,78.129356,137
Maharajganj,27.146858,83.567801,93
Mahasamund,21.09393,82.111104,291
Mahbubnagar,16.744426,77.991612,505
Mahendragarh,28.045836,76.11006,307
Mahesana,23.60274,72.385689,89
Mahoba,25.286105,79.880627,210
Mainpuri,27.229325,79.049369,158
Malappuram,11.043786,76.085683,51
Maldah,25.010231,88.147599,28
Malkangiri,18.357914,81.897509,203
Mamit,23.942233,92.499553,541
Mandi,31.711956,76.932031,840
Mandla,22.605889,80.370917,447
Mandsaur,24.063675,75.074883,435
Mandya,12.517368,76.898666,679
Mansa,29.986894,75.390143,219
Marigaon,26.255106,92.337553,61
Mathura,27.494256,77.684411,177
Mau,25.947961,83.561419,73
Mayurbhanj,21.944929,86.725858,41
Medak,17.625811,78.082342,515
Meerut,28.986554,77.70386,227
Mirzapur,25.143896,82.562668,81
Moga,30.801361,75.162775,221
Mokokchung,26.321208,94.519572,1135
Mon,26.723923,95.031768,666
Moradabad,28.832848,78.780652,202
Morena,26.500863,78.001752,176
Muktsar,30.463978,74.517016,199
Mumbai,18.987074,72.830007,8
Mumbai (Suburban),19.054135,72.832678,4
Munger,25.37403,86.47675,48
Murshidabad,24.100513,88.278789,21
Muzaffarnagar,29.471716,77.700412,247
Muzaffarpur,26.117382,85.406908,58
Mysore,12.309442,76.654533,752
Nabarangapur,19.224792,82.557829,568
Nadia,23.418592,88.504458,14
Nagaon,26.355771,92.686525,68
Nagapattinam,10.770587,79.834871,3
Nagaur,27.200302,73.736974,297
Nagpur,21.148204,79.096814,310
Nainital,29.380565,79.470524,1922
Nalanda,25.194764,85.521417,59
Nalbari,26.444776,91.445234,53
Nalgonda,17.061325,79.267503,245
Namakkal,11.225821,78.171836,195
Nanded,19.159314,77.313188,363
Nandurbar,21.36675,74.244736,215
Narmada,21.875823,73.499823,35
Narsimhapur,22.948386,79.193312,357
Nashik,20.006006,73.795878,580
Navsari,20.948755,72.925226,12
Nawada,24.887955,85.543198,88
Nawanshahr,31.120012,76.130554,258
Nayagarh,20.120189,85.098925,148
Neemuch,24.473691,74.876342,488
Nellore,14.449206,79.983616,22
Nizamabad,18.654235,78.09389,389
North,27.50395,88.536203,1171
North Cachar Hills,25.167627,93.015884,630
North Goa,15.480081,73.822329,12
